name,artists,year,duration_s,tempo,acousticness,energy,valence,key,popularity,explicit
Bad Vibe (feat. A Boogie Wit da Hoodie & 2 Chainz),2 Chainz,2020,198.608,100.03,0.13,0.614,0.389,2,66,Yes
I Want (feat. 2 Chainz),2 Chainz,2016,233.293,120.994,0.179,0.625,0.221,2,56,Yes
The Morning,2 Chainz,2012,275.08,82.16,0.0417,0.66,0.193,7,46,Yes
100it Racks,2 Chainz,2016,265.038,137.022,0.226,0.599,0.356,10,55,Yes
Bugatti,2 Chainz,2013,326.107,130.968,0.0818,0.648,0.293,1,51,Yes
"Show Me (feat. Trey Songz, Juicy J, 2 Chainz & Chris Brown) - Remix",2 Chainz,2014,273.01,97.987,0.0224,0.485,0.537,7,56,Yes
Capitol (feat. 2 Chainz),2 Chainz,2012,305.48,134.092,0.131,0.569,0.326,9,46,Yes
El Chapo Jr,2 Chainz,2015,188.067,137.05,0.059,0.689,0.502,0,52,Yes
I Want (feat. 2 Chainz),2 Chainz,2016,233.293,120.994,0.179,0.625,0.221,2,54,Yes
Deadz (feat. 2 Chainz),2 Chainz,2017,274.097,123.012,0.162,0.785,0.372,8,59,Yes
All Gold Everything - Remix,2 Chainz,2013,281.28,99.945,0.046,0.745,0.655,7,47,Yes
I Luv Dem Strippers,2 Chainz,2012,239.573,137.956,0.0389,0.633,0.467,8,44,Yes
It's Nothin (feat. 2 Chainz),2 Chainz,2012,227.827,138.469,0.0716,0.753,0.502,1,45,Yes
Big Amount,2 Chainz,2017,188.069,133.854,0.0124,0.829,0.154,3,56,Yes
Valet (feat. Fetty Wap and 2 Chainz),2 Chainz,2015,204.324,93.937,0.0333,0.538,0.338,1,53,Yes
Alive (with Offset & 2 Chainz),2 Chainz,2018,235.897,150.061,0.362,0.726,0.57,2,63,Yes
We Got,2 Chainz,2003,261.28,148.828,0.187,0.708,0.353,6,37,Yes
Mercy.1 - Album Version (Edited),2 Chainz,2012,326.28,140.162,0.0514,0.57,0.454,6,44,No
Riot,2 Chainz,2012,167.507,129.982,0.0547,0.674,0.515,4,43,Yes
We Own It (Fast & Furious),2 Chainz,2013,227.893,171.966,0.0521,0.899,0.552,8,59,No
Febreze (feat. 2 Chainz),2 Chainz,2015,214.4,149.829,0.0184,0.983,0.263,2,56,Yes
"That's On Me (feat. 2 Chainz, T.I., Rich The Kid, Jeezy, Boosie Badazz & Trapboy Freddy) - Remix",2 Chainz,2018,352.977,131.904,0.0193,0.623,0.357,4,57,Yes
Rule The World (feat. Ariana Grande),2 Chainz,2019,245.893,88.073,0.158,0.584,0.447,8,61,Yes
Mercy,2 Chainz,2012,329.32,140.001,0.0679,0.496,0.424,6,71,Yes
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2 Chainz,2013,233.787,95.967,0.024,0.693,0.66,1,76,Yes
HeadBand (feat. 2 Chainz),2 Chainz,2013,220.24,97.465,0.132,0.506,0.273,1,71,Yes
All Me,2 Chainz,2013,270.867,122.006,0.0705,0.515,0.422,1,66,Yes
Talk Dirty (feat. 2 Chainz),2 Chainz,2013,177.685,100.315,0.0348,0.652,0.759,6,66,Yes
No Problem (feat. Lil Wayne & 2 Chainz),2 Chainz,2016,304.607,135.018,0.156,0.795,0.788,11,73,Yes
No Lie,2 Chainz,2012,237.827,131.108,0.0172,0.665,0.611,6,60,Yes
Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz),2 Chainz,2013,278.827,130.977,0.00212,0.743,0.576,2,63,Yes
Rich As Fuck,2 Chainz,2013,223.173,130.583,0.0395,0.593,0.883,1,62,Yes
We Own It (Fast & Furious),2 Chainz,2013,227.893,171.966,0.0521,0.899,0.552,8,61,No
"Don't Shoot (feat. Rick Ross, Fabolous, Diddy, 2 Chainz, Wale, DJ Khaled, Swizz Beatz, Yo Gotti, Currensy, Problem, King Pharaoh, TGT)",2 Chainz,2014,367.151,81.095,0.0756,0.491,0.24,1,71,No
3500 (feat. Future & 2 Chainz),2 Chainz,2015,461.84,123.968,0.114,0.595,0.338,8,69,Yes
Money Made Me Do It,2 Chainz,2016,224.96,83.021,0.305,0.429,0.372,7,69,Yes
It's A Vibe,2 Chainz,2017,210.2,73.003,0.0312,0.502,0.525,7,74,Yes
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",2 Chainz,2018,237.24,203.911,0.00552,0.346,0.112,1,73,Yes
Ali Bomaye,2 Chainz,2012,372.707,78.239,0.0209,0.69,0.223,10,66,Yes
I'm Different,2 Chainz,2012,207.04,97.524,0.0473,0.702,0.704,10,59,Yes
Hood Go Crazy,2 Chainz,2015,225.04,96.0,0.00714,0.644,0.492,11,63,Yes
Champions,2 Chainz,2016,334.253,134.952,0.0623,0.774,0.349,6,68,Yes
4:00 AM,2 Chainz,2017,255.56,75.012,0.118,0.5,0.227,1,69,Yes
Beez In The Trap,2 Chainz,2012,268.493,150.011,0.0227,0.782,0.683,9,60,Yes
Do My Dance,2 Chainz,2012,214.293,153.95,0.00357,0.618,0.746,9,61,Yes
Birthday Song,2 Chainz,2012,306.6,140.002,0.0591,0.59,0.161,1,56,Yes
"My Moment (feat. 2 Chainz, Meek Mill and Jeremih)",2 Chainz,2012,198.92,148.063,0.0337,0.76,0.189,1,56,Yes
Mercy.1,2 Chainz,2012,326.347,140.131,0.045,0.624,0.528,6,56,Yes
HeadBand (feat. 2 Chainz) - Coucheron Remix,2 Chainz,2014,235.385,104.033,0.0563,0.635,0.639,1,58,Yes
Watch Out,2 Chainz,2015,207.813,129.89,0.826,0.504,0.537,8,61,Yes
HeadBand (feat. 2 Chainz),2 Chainz,2013,219.833,97.463,0.166,0.472,0.308,1,57,Yes
Upper Echelon (feat. T.I. & 2 Chainz),2 Chainz,2013,243.8,122.065,0.0448,0.617,0.128,2,59,Yes
R.I.P.,2 Chainz,2013,199.973,96.99,0.0215,0.489,0.438,11,53,Yes
Cut Her Off,2 Chainz,2014,243.333,144.037,0.098,0.611,0.0901,8,54,Yes
Good Drank,2 Chainz,2017,222.707,130.033,0.274,0.776,0.37,4,62,Yes
SupaFreak,2 Chainz,2011,265.76,140.076,0.00109,0.619,0.351,1,49,Yes
Beez In The Trap,2 Chainz,2011,268.48,150.011,0.0227,0.782,0.683,9,48,Yes
Feds Watching,2 Chainz,2013,247.013,139.985,0.0476,0.875,0.759,7,49,Yes
Bigger Than You (feat. Drake & Quavo),2 Chainz,2018,225.893,141.009,0.247,0.515,0.264,1,65,Yes
Words Of Wisdom,2Pac,1991,294.36,109.408,0.244,0.521,0.763,7,38,Yes
Something 2 Die 4,2Pac,1993,163.2,79.972,0.355,0.248,0.398,10,39,Yes
Only Fear Of Death,2Pac,1997,309.373,90.004,0.0022,0.714,0.234,1,44,Yes
R U Still Down? (Remember Me),2Pac,1997,247.547,94.996,0.0155,0.893,0.712,7,43,Yes
I Ain't Mad At Cha - Album Version (Edited),2Pac,1998,295.813,85.103,0.112,0.684,0.649,5,38,No
Pac's Theme,2Pac,1993,116.36,106.019,0.216,0.59,0.772,8,38,Yes
Peep Game,2Pac,1993,268.2,100.09,0.0316,0.67,0.721,1,38,Yes
Jealous Got Me Strapped,2Pac,1994,276.0,87.953,0.0244,0.742,0.446,7,35,Yes
Nothing To Lose,2Pac,1997,219.72,103.443,0.146,0.936,0.656,7,43,Yes
I Wonder If Heaven Got A Ghetto,2Pac,1997,259.72,107.909,0.232,0.732,0.644,7,43,Yes
Trapped,2Pac,1998,284.107,88.256,0.0117,0.517,0.426,10,37,Yes
Never Had A Friend Like Me,2Pac,2001,266.8,87.944,0.191,0.786,0.726,1,46,Yes
Hit 'em Up,2Pac,2003,256.693,95.155,0.238,0.804,0.809,0,60,Yes
Ghost,2Pac,2003,257.453,78.703,0.167,0.863,0.551,2,47,Yes
Changes - Greatest Hits Version,2Pac,2007,268.96,111.1,0.0392,0.686,0.317,7,45,No
5 Deadly Venomz,2Pac,1993,313.827,97.641,0.0457,0.708,0.559,1,38,Yes
Guess Who's Back,2Pac,1993,186.533,98.089,0.0139,0.677,0.376,2,37,Yes
Thug Style,2Pac,1997,256.053,100.1,0.148,0.826,0.811,1,42,Yes
Hit 'Em Up - Album Version (Edited),2Pac,1998,303.573,95.22,0.0256,0.813,0.56,7,38,No
Crooked Ass Nigga,2Pac,1991,257.4,189.715,0.194,0.401,0.504,4,36,Yes
Rebel Of The Underground,2Pac,1991,197.0,203.028,0.425,0.394,0.795,10,36,Yes
Part Time Mutha,2Pac,1991,313.907,93.391,0.0497,0.49,0.248,1,37,Yes
Strugglin',2Pac,1993,213.6,104.535,0.0307,0.867,0.782,7,37,Yes
I'm Gettin Money,2Pac,1997,211.6,96.116,0.145,0.875,0.715,4,41,Yes
Open Fire,2Pac,1997,172.787,94.001,0.0309,0.745,0.558,2,41,Yes
Unconditional Love,2Pac,1998,238.32,82.684,0.402,0.626,0.675,10,38,No
The Uppercut,2Pac,2004,230.227,80.991,0.283,0.64,0.687,10,48,Yes
Something Wicked,2Pac,1991,148.8,103.835,0.1,0.307,0.313,10,35,Yes
So Much Pain,2Pac,2001,303.267,84.647,0.0272,0.918,0.235,6,44,Yes
Thugz Mansion - 2Pac Original/Acoustic (Explicit),2Pac,2007,252.293,88.161,0.657,0.417,0.704,8,48,Yes
Tha' Lunatic,2Pac,1991,209.227,111.44,0.489,0.637,0.674,6,35,Yes
Definition Of A Thug Nigga,2Pac,1997,249.133,92.27,0.0012,0.902,0.615,6,39,Yes
Deadly Combination (feat. 2Pac),2Pac,2016,152.373,91.477,0.0913,0.513,0.628,1,60,Yes
I Get Around - Album Version (Edited),2Pac,1998,257.533,96.181,0.122,0.849,0.711,8,34,No
Dear Mama - Album Version (Edited),2Pac,1998,278.427,84.121,0.372,0.592,0.342,6,36,No
LastOnesLeft,2Pac,2001,239.573,98.593,0.011,0.811,0.685,6,45,Yes
Nothin But Love,2Pac,1997,266.373,97.096,0.0579,0.727,0.649,11,38,Yes
Fuck Friendz,2Pac,2001,319.933,92.942,0.0474,0.56,0.798,7,45,Yes
I Ain't Mad At Cha - (Explicit),2Pac,2007,293.867,85.077,0.073,0.687,0.605,5,55,Yes
Million Dollar Spot (feat. 2Pac & B-Legit),2Pac,1996,247.64,93.087,0.0565,0.506,0.495,1,32,Yes
Hold On Be Strong,2Pac,1997,250.0,90.908,0.0866,0.822,0.615,0,38,Yes
Fake Ass Bitches,2Pac,1997,190.64,93.915,0.0256,0.887,0.587,10,40,Yes
16 On Death Row,2Pac,1997,339.76,83.109,0.0677,0.658,0.747,0,38,Yes
Who Do You Believe In,2Pac,2002,330.933,91.889,0.754,0.843,0.77,0,37,Yes
Str8 Ballin',2Pac,2003,304.253,80.443,0.34,0.843,0.758,10,41,Yes
Niggas Done Changed,2Pac,1996,293.107,83.413,0.202,0.606,0.688,10,32,Yes
Still I Rise,2Pac,1999,285.373,87.591,0.0434,0.886,0.52,7,40,Yes
Fuckin Wit The Wrong Nigga,2Pac,2001,217.2,167.682,0.067,0.687,0.733,8,41,Yes
Street Fame - Briss Remix,2Pac,2002,270.24,88.228,0.00991,0.874,0.425,11,41,Yes
Thug 4 Life,2Pac,2004,173.96,105.09,0.279,0.791,0.881,0,45,Yes
How Do U Want It - (Explicit),2Pac,2007,286.893,92.472,0.114,0.847,0.744,8,40,Yes
Keep Ya Head Up,2Pac,1993,262.507,172.329,0.144,0.732,0.595,4,73,Yes
I Get Around,2Pac,1993,259.0,96.188,0.156,0.416,0.645,10,70,Yes
Dear Mama,2Pac,1995,280.0,84.115,0.371,0.54,0.322,6,73,Yes
So Many Tears,2Pac,1995,239.227,92.717,0.0184,0.6,0.586,1,64,Yes
Me Against The World,2Pac,1995,279.133,91.938,0.0248,0.804,0.765,6,63,Yes
Ambitionz Az A Ridah,2Pac,1996,278.387,87.279,0.00253,0.908,0.805,2,77,Yes
All Eyez On Me (ft. Big Syke),2Pac,1996,307.773,93.281,0.03,0.719,0.858,1,76,Yes
Only God Can Judge Me (ft. Rappin' 4-Tay),2Pac,1996,296.907,90.185,0.0012,0.784,0.801,11,69,Yes
"All About U (ft. Nate Dogg, Snoop Dogg, Fatal, Yani Hadati)",2Pac,1996,276.813,103.201,0.065,0.792,0.766,2,67,Yes
Can't C Me,2Pac,1996,330.76,95.416,0.0432,0.852,0.674,0,65,Yes
Ratha Be Ya N____ (ft. Richie Rich),2Pac,1996,253.973,84.577,0.204,0.558,0.566,11,62,Yes
Do For Love,2Pac,1997,281.6,95.0,0.0578,0.63,0.717,1,72,Yes
Changes,2Pac,1998,268.827,111.113,0.0453,0.665,0.331,7,67,Yes
Hit 'Em Up - Single Version,2Pac,1998,312.627,95.19,0.0394,0.844,0.586,7,65,Yes
Hail Mary,2Pac,1998,312.373,82.05,0.158,0.644,0.388,10,65,Yes
California Love - Original Version,2Pac,1998,284.907,91.519,0.0304,0.85,0.761,7,65,Yes
How Do U Want It,2Pac,1998,287.76,92.46,0.121,0.81,0.838,8,62,Yes
2 Of Amerikaz Most Wanted,2Pac,1998,246.667,99.236,0.0426,0.876,0.845,1,60,Yes
To Live & Die In L.A.,2Pac,1998,272.627,173.929,0.219,0.856,0.779,9,57,Yes
California Love - Original Version,2Pac,2007,284.48,91.519,0.0292,0.847,0.765,7,67,Yes
Brenda's Got A Baby,2Pac,1991,233.467,166.758,0.0275,0.496,0.713,5,58,Yes
Temptations,2Pac,1995,300.573,90.709,0.135,0.665,0.707,1,59,Yes
It Ain't Easy,2Pac,1995,293.933,90.662,0.472,0.777,0.652,8,58,Yes
Death Around The Corner,2Pac,1995,247.333,92.738,0.00531,0.683,0.461,6,56,Yes
"Dusted 'N' Disgusted (feat. 2Pac, Mac Mall & Spice 1)",2Pac,1995,269.733,92.706,0.0954,0.705,0.673,8,54,Yes
Shorty Wanna Be A Thug,2Pac,1996,231.653,90.009,0.00515,0.716,0.352,4,59,Yes
"Run Tha Streetz (ft. Michel'le, Storm, Mutah)",2Pac,1996,316.4,166.973,0.109,0.788,0.722,8,56,Yes
Thug Luv (feat. 2pac),2Pac,1997,307.987,134.119,0.131,0.793,0.428,0,61,Yes
California Love - Original Version,2Pac,1998,285.027,91.535,0.0303,0.856,0.747,7,58,No
I Ain't Mad At Cha,2Pac,1998,293.227,85.05,0.0785,0.676,0.606,5,55,Yes
Life Goes On,2Pac,1998,301.6,79.063,0.297,0.833,0.528,7,54,Yes
Picture Me Rollin',2Pac,1998,314.907,95.908,0.115,0.737,0.457,11,54,Yes
I Get Around,2Pac,1998,258.64,96.224,0.12,0.717,0.675,10,54,Yes
Troublesome '96,2Pac,1998,277.267,97.523,0.145,0.924,0.557,1,52,Yes
Thugz Mansion - 7 Remix,2Pac,2002,247.6,87.908,0.299,0.639,0.893,5,63,Yes
Ghetto Gospel,2Pac,2004,238.053,80.569,0.0964,0.614,0.663,5,70,Yes
Changes,2Pac,2007,268.96,111.115,0.0404,0.657,0.316,7,76,Yes
Trapped,2Pac,1991,284.693,88.265,0.0118,0.297,0.442,10,53,Yes
If I Die 2Nite,2Pac,1995,241.8,91.026,0.21,0.726,0.686,8,53,Yes
No More Pain,2Pac,1996,374.8,77.012,0.0202,0.906,0.859,9,55,Yes
"Thug Passion (ft. Jewell, Outlawz, The Storm)",2Pac,1996,307.64,92.008,0.146,0.8,0.666,7,54,Yes
"California Love (remix) (ft. Dr. Dre, Roger Troutman)",2Pac,1996,385.88,91.634,0.00654,0.843,0.657,5,58,Yes
Wonda Why They Call U B____,2Pac,1996,258.467,101.277,0.0731,0.876,0.457,4,55,Yes
"Got My Mind Made Up (ft. Dat Nigga Daz, Kurupt, Method Man, Redman)",2Pac,1996,312.64,93.029,0.0157,0.897,0.863,6,55,Yes
Skandalouz (ft. Nate Dogg),2Pac,1996,248.693,92.708,0.0201,0.919,0.805,10,55,Yes
Keep Ya Head Up,2Pac,1998,263.6,172.414,0.141,0.739,0.613,4,50,Yes
Dear Mama,2Pac,1998,278.733,84.121,0.368,0.568,0.34,6,48,Yes
Breathin,2Pac,2001,244.933,82.967,0.0181,0.723,0.62,6,60,Yes
Better Dayz,2Pac,2002,257.627,90.87,0.0876,0.735,0.635,1,60,Yes
They Don't Give A F**** About Us,2Pac,2002,306.2,81.859,0.294,0.736,0.783,4,57,Yes
Runnin' (Dying To Live),2Pac,2003,231.987,166.122,0.0467,0.796,0.629,10,59,Yes
Smile,2Pac,2010,300.6,77.871,0.0498,0.402,0.499,5,62,Yes
Old School,2Pac,1995,279.2,90.868,0.0886,0.86,0.623,8,52,Yes
Lord Knows,2Pac,1995,270.0,181.568,0.000251,0.681,0.625,10,49,Yes
"Tradin War Stories (ft. C-BO, CPO, Outlawz, The Storm)",2Pac,1996,329.827,86.503,0.476,0.802,0.495,11,53,Yes
Holla At Me,2Pac,1996,295.413,102.006,0.0901,0.929,0.547,1,53,Yes
2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dog),2Pac,1996,246.533,99.247,0.0253,0.904,0.855,8,55,Yes
Check Out Time,2Pac,1996,279.067,94.302,0.149,0.703,0.6,6,52,Yes
When We Ride (ft. Outlaw Immortals),2Pac,1996,309.587,183.465,0.0442,0.836,0.606,11,51,Yes
"How Do You Want It (ft. KC, Jojo)",2Pac,1996,287.547,92.477,0.0346,0.84,0.748,8,62,Yes
Heaven Ain't Hard 2 Find,2Pac,1996,239.227,174.251,0.162,0.817,0.841,7,51,Yes
Heartz Of Men,2Pac,1998,281.027,92.458,0.0176,0.748,0.498,6,48,Yes
Until The End Of Time,2Pac,2001,266.507,96.976,0.0267,0.706,0.375,8,58,Yes
Lil' Homies,2Pac,2001,223.973,97.6,0.159,0.815,0.804,10,59,Yes
My Block - Nitty Remix,2Pac,2002,322.573,89.993,0.0544,0.565,0.232,8,59,Yes
When We Ride On Our Enemies - Briss Remix,2Pac,2002,174.267,85.428,0.0748,0.637,0.833,1,56,Yes
Loyal To The Game,2Pac,2004,203.52,98.137,0.116,0.573,0.723,1,59,Yes
Playa Cardz Right,2Pac,2008,291.24,86.078,0.0392,0.59,0.192,0,56,No
Holler If Ya' Hear Me,2Pac,1993,278.173,111.229,0.000806,0.722,0.742,7,48,Yes
Fuck The World,2Pac,1995,252.56,95.448,0.0748,0.638,0.684,11,50,Yes
Can U Get Away,2Pac,1995,345.8,75.952,0.411,0.617,0.803,11,49,Yes
"Ain't Hard 2 Find (ft. B-Legit, C-BO, E-40, Richie Rich)",2Pac,1996,268.573,89.966,0.0237,0.87,0.522,11,50,Yes
Unconditional Love,2Pac,1998,238.307,82.794,0.398,0.61,0.715,10,45,Yes
Changes,2Pac,1998,268.773,111.101,0.0454,0.675,0.321,0,47,No
All About U,2Pac,1998,273.16,103.008,0.112,0.746,0.818,2,44,Yes
Ballad Of A Dead Soulja,2Pac,2001,255.627,102.789,0.0329,0.855,0.446,5,55,Yes
Letter 2 My Unborn,2Pac,2001,235.333,107.794,0.164,0.792,0.743,6,57,Yes
Runnin' (Dying To Live),2Pac,2003,230.787,165.964,0.0459,0.799,0.631,10,54,Yes
Soldier Like Me,2Pac,2004,230.493,172.03,0.0672,0.614,0.57,11,56,Yes
Thugs Get Lonely Too,2Pac,2004,288.08,82.013,0.0138,0.881,0.742,9,55,Yes
"Living in Pain (feat. 2Pac, Mary J. Blige & Nas)",2Pac,2005,241.4,176.482,0.0625,0.801,0.482,2,58,Yes
I Don't Give A Fuck,2Pac,1991,260.173,94.58,0.32,0.721,0.801,2,48,Yes
